city,lat,lng,country,iso2,admin,capital,population,population_proper
Hashtrūd,37.4779,47.0508,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,,
Fārsān,32.256941,50.560955,Iran,IR,Chahār Maḩāl va Bakhtīārī,minor,,
Khomeyn,33.642255,50.078898,Iran,IR,Markazī,minor,,
Arsanjān,29.9124,53.3085,Iran,IR,Fārs,minor,,
Şowme‘eh Sarā,37.301339,49.315038,Iran,IR,Gīlān,minor,,
Solţānābād,36.403524,58.038935,Iran,IR,Khorāsān-e Raẕavī,minor,,
Kūhbanān,31.410293,56.282547,Iran,IR,Kermān,minor,,
Haftkel,31.446858,49.529508,Iran,IR,Khūzestān,minor,,
Sarāb-e Dowreh,33.5639,48.0221,Iran,IR,Lorestān,minor,,
Tūyserkān,34.550998,48.443531,Iran,IR,Hamadān,minor,,
Eslāmābād-e Gharb,34.1094,46.5275,Iran,IR,Kermānshāh,minor,,
Qal‘eh-ye Khvājeh,32.2064,49.4437,Iran,IR,Khūzestān,minor,,
Sūrān,27.2855,61.9965,Iran,IR,Sīstān va Balūchestān,minor,,
Aleshtar,33.86419,48.262576,Iran,IR,Lorestān,minor,,
Rāmhormoz,31.279972,49.603511,Iran,IR,Khūzestān,minor,,
Shahrīār,35.658842,51.05775,Iran,IR,Tehrān,minor,,
Pārsābād,39.6482,47.9174,Iran,IR,Ardabīl,minor,,
Meybod,32.250137,54.016585,Iran,IR,Yazd,minor,,
Fārūj,37.231209,58.219004,Iran,IR,Khorāsān-e Shomālī,minor,,
Fīrūzābād,28.8438,52.5707,Iran,IR,Fārs,minor,,
Chelgard,32.46668,50.123084,Iran,IR,Chahār Maḩāl va Bakhtīārī,minor,,
Bābolsar,36.702506,52.6576,Iran,IR,Māzandarān,minor,,
Bāfq,31.603498,55.402492,Iran,IR,Yazd,minor,,
Shahr-e Herāt,30.054072,54.372938,Iran,IR,Yazd,minor,,
Rāmsar,36.917956,50.648016,Iran,IR,Māzandarān,minor,,
Kalāt-e Nāderī,36.995322,59.764721,Iran,IR,Khorāsān-e Raẕavī,minor,,
Kavār,29.205,52.6899,Iran,IR,Fārs,minor,,
Dūst Moḩammad Khān,31.1447,61.7925,Iran,IR,Sīstān va Balūchestān,minor,,
Sarbīsheh,32.575658,59.798205,Iran,IR,Khorāsān-e Jonūbī,minor,,
Sarvestān,29.2735,53.2203,Iran,IR,Fārs,minor,,
Lāmerd,27.334,53.179,Iran,IR,Fārs,minor,,
Namīn,38.4269,48.4839,Iran,IR,Ardabīl,minor,,
Ferdows,34.018498,58.172222,Iran,IR,Khorāsān-e Jonūbī,minor,,
Khāsh,28.221072,61.215819,Iran,IR,Sīstān va Balūchestān,minor,,
Shalamzār,32.045392,50.817135,Iran,IR,Chahār Maḩāl va Bakhtīārī,minor,,
Bāft,29.2331,56.6022,Iran,IR,Kermān,minor,,
Deyr,27.8399,51.9378,Iran,IR,Būshehr,minor,,
Roshtkhvār,34.975119,59.624818,Iran,IR,Khorāsān-e Raẕavī,minor,,
Bajestān,34.516388,58.184504,Iran,IR,Khorāsān-e Raẕavī,minor,,
Pākdasht,35.478544,51.683396,Iran,IR,Tehrān,minor,,
Shāzand,33.9276,49.4116,Iran,IR,Markazī,minor,,
Qeshm,26.9492,56.2691,Iran,IR,Hormozgān,minor,,
Pīshvā,35.308,51.7267,Iran,IR,Tehrān,minor,,
Dārāb,28.751944,54.544444,Iran,IR,Fārs,minor,,
Anār,30.870659,55.270247,Iran,IR,Kermān,minor,,
Garmeh,36.987004,56.289424,Iran,IR,Khorāsān-e Shomālī,minor,,
Gīlān-e Gharb,34.1421,45.9203,Iran,IR,Kermānshāh,minor,,
Behshahr,36.692347,53.552617,Iran,IR,Māzandarān,minor,,
Pā’īn-e Bāzār-e Rūdbār,36.8211,49.4264,Iran,IR,Gīlān,minor,,
Bardsīr,29.92266,56.574335,Iran,IR,Kermān,minor,,
Golpāyegān,33.453702,50.288361,Iran,IR,Eşfahān,minor,,
Fāryāb,28.098699,57.231814,Iran,IR,Kermān,minor,,
Īrānshahr,27.202446,60.684758,Iran,IR,Sīstān va Balūchestān,minor,,
Hendījān,30.2363,49.7119,Iran,IR,Khūzestān,minor,,
Lāhījān,37.207318,50.003971,Iran,IR,Gīlān,minor,,
Pīrānshahr,36.701,45.1413,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,,
Qarah Āghāj,37.2187,47.2167,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,,
Dāmghān,36.167905,54.342924,Iran,IR,Semnān,minor,,
‘Ajab Shīr,37.4776,45.8943,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,,
Jam,27.828167,52.325358,Iran,IR,Būshehr,minor,,
Bardaskan,35.26218,57.970745,Iran,IR,Khorāsān-e Raẕavī,minor,,
Nīkshahr,26.2258,60.2143,Iran,IR,Sīstān va Balūchestān,minor,,
Ţorqabeh,36.3104,59.3735,Iran,IR,Khorāsān-e Raẕavī,minor,,
Āstārā,38.4291,48.872,Iran,IR,Gīlān,minor,,
Mākū,39.295126,44.498216,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,,
Marvdasht,29.8742,52.8025,Iran,IR,Fārs,minor,,
Dowlatābād,32.79978,51.695527,Iran,IR,Eşfahān,minor,,
Abarkūh,31.1289,53.2824,Iran,IR,Yazd,minor,,
Gonābād,34.352865,58.683647,Iran,IR,Khorāsān-e Raẕavī,minor,,
Ardakān,32.310011,54.017474,Iran,IR,Yazd,minor,,
Ardal,31.999691,50.662308,Iran,IR,Chahār Maḩāl va Bakhtīārī,minor,,
Ḩājjīābād,33.604956,59.993404,Iran,IR,Khorāsān-e Jonūbī,minor,,
Neyrīz,29.1988,54.3278,Iran,IR,Fārs,minor,,
Mehrān,33.1222,46.1646,Iran,IR,Īlām,minor,,
Kangān,27.834,52.0628,Iran,IR,Būshehr,minor,,
Kāzerūn,29.619491,51.654147,Iran,IR,Fārs,minor,,
Shūsh,32.1942,48.2436,Iran,IR,Khūzestān,minor,,
Khodābandeh,36.1189,48.5894,Iran,IR,Zanjān,minor,,
Rafsanjān,30.4067,55.9939,Iran,IR,Kermān,minor,,
Borūjen,31.965232,51.287295,Iran,IR,Chahār Maḩāl va Bakhtīārī,minor,,
Shāhīn Dezh,36.6793,46.5669,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,,
Sarābleh,33.767724,46.565777,Iran,IR,Īlām,minor,,
Do Gonbadān,30.3586,50.7981,Iran,IR,Kohgīlūyeh va Bowyer Aḩmad,minor,,
Abhar,36.1468,49.218,Iran,IR,Zanjān,minor,,
Meyāmī,36.410919,55.650182,Iran,IR,Semnān,minor,,
Zābolī,27.130999,61.674446,Iran,IR,Sīstān va Balūchestān,minor,,
Shahr-e Qadīm-e Lār,27.683362,54.34172,Iran,IR,Fārs,minor,,
Khvānsār,33.220521,50.314969,Iran,IR,Eşfahān,minor,,
Āshkhāneh,37.561495,56.921249,Iran,IR,Khorāsān-e Shomālī,minor,,
Shahr-e Qods,35.7214,51.109,Iran,IR,Tehrān,minor,,
Neqāb,36.707917,57.421461,Iran,IR,Khorāsān-e Raẕavī,minor,,
Gerāsh,27.669664,54.135859,Iran,IR,Fārs,minor,,
Delījān,33.9905,50.6838,Iran,IR,Markazī,minor,,
Jahrom,28.5,53.5605,Iran,IR,Fārs,minor,,
Galūgāh,36.727341,53.808879,Iran,IR,Māzandarān,minor,,
Kord Kūy,36.793068,54.112135,Iran,IR,Golestān,minor,,
Charām,30.746,50.746,Iran,IR,Kohgīlūyeh va Bowyer Aḩmad,minor,,
Sarpol-e Z̄ahāb,34.461092,45.862644,Iran,IR,Kermānshāh,minor,,
Seyah Cheshmeh,39.06508,44.384157,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,,
Bandar-e Gaz,36.774086,53.947981,Iran,IR,Golestān,minor,,
Gālīkesh,37.272593,55.433939,Iran,IR,Golestān,minor,,
Dowlatābād,35.282187,59.519719,Iran,IR,Khorāsān-e Raẕavī,minor,,
Sūrīān,30.4551,53.651,Iran,IR,Fārs,minor,,
Qā’en,33.726539,59.184393,Iran,IR,Khorāsān-e Jonūbī,minor,,
Mīāneh,37.421,47.715,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,,
Andīmeshk,32.461496,48.353677,Iran,IR,Khūzestān,minor,,
Qā’em Shahr,36.48144,52.891093,Iran,IR,Māzandarān,minor,,
Shabestar,38.1804,45.7028,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,,
Khomārlū,39.1489,47.0347,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,,
Tonekābon,36.816259,50.873763,Iran,IR,Māzandarān,minor,,
Estahbān,29.1266,54.0421,Iran,IR,Fārs,minor,,
Robāţ Karīm,35.4846,51.0829,Iran,IR,Tehrān,minor,,
Dehāqān,31.94004,51.647861,Iran,IR,Eşfahān,minor,,
Lordegān,31.51338,50.82672,Iran,IR,Chahār Maḩāl va Bakhtīārī,minor,,
Maḩmūdābād,36.631907,52.262858,Iran,IR,Māzandarān,minor,,
Shūshtar,32.049721,48.848429,Iran,IR,Khūzestān,minor,,
Ţabas,33.595856,56.924368,Iran,IR,Yazd,minor,,
Shahrak-e Bākharz,34.992045,60.31714,Iran,IR,Khorāsān-e Raẕavī,minor,,
Bīleh Savār,39.379613,48.354626,Iran,IR,Ardabīl,minor,,
Ḩājjīābād,28.3091,55.9017,Iran,IR,Hormozgān,minor,,
Līkak,30.8949,50.0931,Iran,IR,Kohgīlūyeh va Bowyer Aḩmad,minor,,
Tākestān,36.0696,49.6959,Iran,IR,Qazvīn,minor,,
Bū’īn Zahrā,35.7669,50.0578,Iran,IR,Qazvīn,minor,,
Sūrak,36.594884,53.207623,Iran,IR,Māzandarān,minor,,
Sorkheh,35.4633,53.214,Iran,IR,Semnān,minor,,
Sarakhs,36.5449,61.1577,Iran,IR,Khorāsān-e Raẕavī,minor,,
Mollās̄ānī,31.5851,48.885,Iran,IR,Khūzestān,minor,,
Khowrmūj,28.6543,51.38,Iran,IR,Būshehr,minor,,
Āshtīān,34.522984,50.00608,Iran,IR,Markazī,minor,,
Mīāndoāb,36.966671,46.109612,Iran,IR,Āz̄arbāyjān-e Gharbī,minor,,
Darreh Shahr,33.144468,47.379903,Iran,IR,Īlām,minor,,
Razan,35.3866,49.0338,Iran,IR,Hamadān,minor,,
Qal‘eh Ganj,27.5236,57.8811,Iran,IR,Kermān,minor,,
Herīs,38.248156,47.116777,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,,
Māhneshān,36.7444,47.6725,Iran,IR,Zanjān,minor,,
Zarand,30.812709,56.563993,Iran,IR,Kermān,minor,,
Shahreẕā,32.0089,51.8668,Iran,IR,Eşfahān,minor,,
Ārādān,35.249405,52.494216,Iran,IR,Semnān,minor,,
Tāybād,34.74,60.7756,Iran,IR,Khorāsān-e Raẕavī,minor,,
Dorūd,33.497135,49.057768,Iran,IR,Lorestān,minor,,
Sar‘eyn,38.1513,48.0708,Iran,IR,Ardabīl,minor,,
Naz̧arābād,35.954109,50.606075,Iran,IR,Alborz,minor,,
Eslāmābād,28.026114,58.0,Iran,IR,Kermān,minor,,
Zarrīn Shahr,32.3897,51.3766,Iran,IR,Eşfahān,minor,,
Dalgān,27.482317,59.446559,Iran,IR,Sīstān va Balūchestān,minor,,
Oskū,37.915037,46.122576,Iran,IR,Āz̄arbāyjān-e Sharqī,minor,,
‘Anbarābād,28.4759,57.848,Iran,IR,Kermān,minor,,
Bābol,36.551321,52.678951,Iran,IR,Māzandarān,minor,,
Shīrvān,37.396693,57.929517,Iran,IR,Khorāsān-e Shomālī,minor,,
Alvand,36.1893,50.0643,Iran,IR,Qazvīn,minor,,
Şafāshahr,30.6131,53.1954,Iran,IR,Fārs,minor,,
Mehdīshahr,35.710714,53.353937,Iran,IR,Semnān,minor,,
